2,4-Дактив, КЭ|Рапира, КЭ; Эндимион, КЭ; 
Аргумент Стар, ВР|Ампир Экстра, ВР; Аристократ Супер, ВР; Вольник, ВР; Гелиос Экстра, ВР; ГлиБест 540, ВР; Глифор Форте, ВР; Глифошанс Супер, ВР; Голиаф, ВР; Раундап Экстра, ВР; Силач, ВР; Спрут Экстра, ВР; Тачдаун, ВР; Торнадо 540,
Аргумент, ВР|Альфа Атаман, ВР; Ампир, ВР; Гелиос, ВР; Глибел, ВР; ГлиБест, ВР; Глифид, ВР; Глифоголд, ВР; Глифор, ВР; Глифот, ВР; Глифошанс, ВР; Граунд, ВР; Дзюдо, ВР; Зеро, ВР; Кайман, ВР; Ликвидатор, ВР; Напалм, ВР; Пилараунд, ВР; Рауль, ВР; Раундап Макс, ВР; Раундап, ВР; Росейт, ВР; Спрут, ВР; Тайфун, ВР; Торнадо, ВР; Торнадо, ВР 2585; Тотал, ВР; Файтер, ВР; Факел, ВР; Чистогряд, ВР;
Аристократ Супер, ВР|Ампир Экстра, ВР; Аргумент Стар, ВР; Вольник, ВР; Гелиос Экстра, ВР; ГлиБест 540, ВР; Глифор Форте, ВР; Глифошанс Супер, ВР; Голиаф, ВР; Раундап Экстра, ВР; Силач, ВР; Спрут Экстра, ВР; Тачдаун, ВР; Торнадо 540,
Аристократ, ВР|Напалм-480, ВР; Ранголи-Глифосат 480, ВР;
Ария, КС|Койра, КС; Скутум, СК; 
Аркан, ВДГ|--
Армин, КЭ|Айвенго, КЭ; Аккорд, КЭ; АлтАльф, КЭ; Альтаир, КЭ; Альтерр, КЭ; Альфа Ринг, КЭ; Альфа-Ципи, КЭ; Альфабел, КЭ; Альфаметрин, КЭ; Альфатек, КЭ; Альфацин, КЭ; Атрикс, КЭ; Мамба, КЭ; Неофрал, КЭ; Острог, МК; Пикет, КЭ; Фаскорд, КЭ; Фастак, КЭ; Фасшанс, КЭ; Фатрин, КЭ; Цезарь, КЭ; Цепеллин, КЭ; Ци-Альфа, КЭ; Цунами, КЭ;
Арпад, ВДГ|Алтис, ВДГ; Гримс, ВДГ; Денди, СТС; Кассиус, ВРП; Маис, СТС; Ранголи-Тиран, ВДГ; Риманол, ВДГ; Римлин, ВДГ; Римус, ВДГ; Римэкс, ВДГ; Ромул, ВДГ; Титус, СТС; Тример, ВДГ; Цицерон, ВДГ; Шантус, ВДГ; 
Арриво, КЭ|Молния Экстра, КЭ; Патрий, КЭ; Циперус, КЭ; Ципи, КЭ; Циракс, КЭ; Цитокс, КЭ; Шарпей, МЭ; 
Артафит, ВРК|--
Артист, ВДГ|--
Артстар, ВДГ|Агростар, ВДГ; Альфа Стар, ВДГ; Аргамак, ВДГ; Аргамак, ВДГ-1001; Артстар, ВДГ; Бен Гур, ВДГ; Бенрил, ВДГ; Гекстар, ВДГ; Герсотил, ВДГ; Герсотил, ВДГ+; Гран-при, ВДГ; Гранат, ВДГ; Гранд Плюс, ВДГ; Гранилин, ВДГ; Гренадер, ВДГ; Громстор, ВДГ; Грэнери, ВДГ; Гюрза, СП; Коррида, ВДГ; Мортира, ВДГ; Норман, ВДГ; Прометей, ВДГ; Ранголи-Трибенурон, ВДГ; Санфло, ВДГ; Спецназ 750, ВДГ; Сталкер, ВДГ; Старбокс, СТС; Суперстар, ВДГ; Таллер, ВДГ; Террастар, ВДГ; ТриАлт, ВДГ; Трибел, ВДГ; Трибинстар, ВДГ; Трибун, СТС; Трибунал, ВДГ; Тризлак, ВДГ; Триметил, ВДГ; Триммер, ВДГ; Ферат, ВДГ; Флюенс, ВДГ; Химстар, ВДГ; Шанстар, ВДГ; Экспресс, ВДГ;
Архитект, СЭ|--
Ас, ВК|Арбонал, ВК; Грейдер, ВГР; Шквал, ВК;
Аспид, СК|Калина, КС; Калипсо, КС; Пондус, КС; Тейя, КС;
Ассолюта Прайм, МК|Балерина Супер, СЭ;
Ассолюта, МК|--
Астэрикс, СЭ|Ламбада, СЭ; Пальмира, СЭ; Подмарин, КЭ; Прима, СЭ; Примавера, СЭ; Пришанс, СЭ; ЭтилФло, СЭ;
Атаброн, КС|--
Атлант Супер, КЭ |Аваксс, КЭ; Альпари, КЭ; Альтазол, КЭ; Альто Супер, КЭ; Альтрум Супер, КЭ; Анемон, КЭ; Виртуоз, КЭ; Золтан, КЭ; Калибел, КЭ; Маэстро, КЭ; Пропишанс Супер, КЭ; Профи Супер, КЭ; Ранголи-Ципрос, КЭ; Супер Альянс, КЭ; Фильтерр, КЭ; Фунгисил, КЭ; Цимус Прогресс, КЭ; Цимус Прогресс, КЭ 1574;
Атлант, КЭ|Пеон, КЭ; Агролекарь, КЭ; Прогноз, КЭ; Профи, КЭ; Профикс, КЭ; Скиф, КЭ; Тилт, КЭ; Тимус, КЭ; Пропи Плюс, КЭ; ПропиШанс, КЭ; Титан, КЭ; Чистофлор, КЭ;
Атлет, ВР|Коренастый, ВК; Крепень, ВР; 
Атоник Плюс, ВР|--
Атрикс, КЭ|Айвенго, КЭ; Аккорд, КЭ; АлтАльф, КЭ; Альтаир, КЭ; Альтерр, КЭ; Альфа Ринг, КЭ; Альфа-Ципи, КЭ; Альфабел, КЭ; Альфаметрин, КЭ; Альфатек, КЭ; Альфацин, КЭ; Армин, КЭ; Мамба, КЭ; Неофрал, КЭ; Острог, МК; Пикет, КЭ; Фаскорд, КЭ; Фастак, КЭ; Фасшанс, КЭ; Фатрин, КЭ; Цезарь, КЭ; Цепеллин, КЭ; Ци-Альфа, КЭ; Цунами, КЭ;
АтронПро, ВДГ |--
Аттик, КС|Алькасар, КС; Даймонд Супер, КС; ДВД Шанс, КС; Дивиденд Стар, КС; 
Аффет, КС|Фонтелис, КС;
Ацетал Про, КЭ|Вендор, КЭ; Лабрадор, КЭ; Ладон Про, КЭ; Питон, КЭ; Прокул, КЭ; Пронто, КЭ; Пропонит, КЭ;
Ацидан, СП|Виконт, СП; Метаксил, СП; Метамил МЦ, ВДГ; Меташанс, СП; Рапид Микс, СП;
Ацифект, ККР|--
Б-360, ВР|--
Багира, КЭ|Лемур, КЭ; Пантера, КЭ; Хилер, МКЭ;
Багрец, КС|--
Базагран, BР|АгроБазон, ВР; Альфа-бентазон, ВР; Базон, ВР; Барон, ВР; Бентазолин, ВР;  Бентасил, ВР; Бентекс, ВР; Бентобел, ВР; Бентограм, ВР; Бентус, ВР; Бизон, ВК; Бонус, ВР; Бунт, ВР; Гарнизон, ВР; Гранбаз, ВР; Изобен, ВР; Корсар, ВРК; Наношанс, ВР; Ранголи-Базорон, ВР; Сикурс, ВР; Тигрис, ВР; 
Базис, СТС|Тезис, ВДГ;
Базон, ВР|АгроБазон, ВР; Альфа-бентазон, ВР; Барон, ВР; Базагран, BР; Бентазолин, ВР; Бентасил, ВР; Бентекс, ВР; Бентобел, ВР; Бентограм, ВР; Бентус, ВР; Бизон, ВК; Бонус, ВР; Бунт, ВР; Гарнизон, ВР; Гранбаз, ВР; Изобен, ВР; Корсар, ВРК; Наношанс, ВР; Ранголи-Базорон, ВР; Сикурс, ВР; Тигрис, ВР; 
Байзафон, СП|Привент, СП;
Бакара Форте, КС|--
Баксис, Ж|--
Бактерра, СП|--
Бактороденцид, ПР|--
Бактофит, СК|Бактофит, СП;
Бактофит, СП|Бактофит, СК;
Бактофорт, Ж|--
Балерина Супер, СЭ |Ассолюта Прайм, МК;
Балерина Форте, СЭ|--
Балерина, СЭ|--
Балет, КЭ|Аминка ФЛО, Дива, КС
Балий, КМЭ|--
Балинт, КС |Винцит Форте, КС;
БАМБУ, КЭ|Алгоритм, КЭ; Трейсер, КЭ; Камелин, КЭ; Клордин, КЭ; Комманд, КЭ; 
Бампер Супер, КЭ |--
Банвел, ВР|Адвокат, ВР; Альфа-Дикамба, ВРК; Санпэй, ВР; Витара, ВР; Герб-480, ВР ; Губернатор, ВР; Девиз, ВР; Декабрист, ВР; Дикамбел, ВР; Ларт, ВР; Мономакс, ВР; Мурал, ВР; Оптимум, ВРК; Дамба, ВР; Деймос, ВРК; Диамант, ВР; Дианат, ВР; Диастарт, ВР; 
Банджо Форте, КС|Инсайд, СК;
Бандур, КС|--
Банко, КС|Браво, КС; Грэмми, КС; Талант, СК;
Баргузин, Г|--
Баритон Супер, КС|--
Баритон, КС|--
Барон, ВР|АгроБазон, ВР; Альфа-бентазон, ВР; Базон, ВР; Базагран, BР; Бентазолин, ВР; Бентасил, ВР; Бентекс, ВР; Бентобел, ВР; Бентограм, ВР; Бентус, ВР; Бизон, ВК; Бонус, ВР; Бунт, ВР; Гарнизон, ВР; Гранбаз, ВР; Изобен, ВР; Корсар, ВРК; Наношанс, ВР; Ранголи-Базорон, ВР; Сикурс, ВР; Тигрис, ВР; 
Баста, ВР|Мегаполис, ВР; 
Батор, КС|Имидашанс Про, КС; Клубнещит, КС; Покровитель, КС; Престиж, КС; Престижитатор, КС; Ректор, КС; Респект, КС; 
Батрайдер, СК|Борей Нэо, СК; Жукоед, СК; Пиноцид, СК;
Бегин Турбо, КС|--
Бегин, КЭ|Авангард, КЭ; Анаконда, КЭ; Гуд-Харвест С-Метолахлор, КЭ; Джиндур, КЭ; Дифилайн, КЭ; Дуал Голд, КЭ; Душанс, КЭ; Метолс, КЭ; Ранголи-Дон, КЭ; Селена, КЭ; Симба, КЭ; Стрим, КЭ; Телус, КЭ; Хевимет, КЭ;
Беллис, ВДГ|--
Белт, КС|--
Бельведер Форте, СЭ|--
Бельведер, СЭ|Агротех-Гарант-22, КЭ; Бетаниум 22, КЭ; Бетахим 22, КЭ ; Бетацвай, КЭ ; Беташанс Дабл, КЭ; Бетинол 22, КЭ ; Бифор 22, ВСК; Бифор 22, КЭ ; Вымпел 2, КЭ; Доцент, КЭ; Секира Дуэт, КС; Секунда, КЭ; Эксперт 22, КЭ; Эксперт Некст, КС; Бетанал 22, КЭ;
Бен Гур, ВДГ|Агростар, ВДГ; Альфа Стар, ВДГ; Аргамак, ВДГ; Аргамак, ВДГ-1001; Артстар, ВДГ; Бенрил, ВДГ; Гекстар, ВДГ; Герсотил, ВДГ; Герсотил, ВДГ+; Гран-при, ВДГ; Гранат, ВДГ; Гранд Плюс, ВДГ; Гранилин, ВДГ; Гренадер, ВДГ; Громстор, ВДГ; Грэнери, ВДГ; Гюрза, СП; Коррида, ВДГ; Мортира, ВДГ; Норман, ВДГ; Прометей, ВДГ; Ранголи-Трибенурон, ВДГ; Санфло, ВДГ; Спецназ 750, ВДГ; Сталкер, ВДГ; Старбокс, СТС; Суперстар, ВДГ; Таллер, ВДГ; Террастар, ВДГ; ТриАлт, ВДГ; Трибел, ВДГ; Трибинстар, ВДГ; Трибун, СТС; Трибунал, ВДГ; Тризлак, ВДГ; Триметил, ВДГ; Триммер, ВДГ; Ферат, ВДГ; Флюенс, ВДГ; Химстар, ВДГ; Шанстар, ВДГ; Экспресс, ВДГ;
Беназол, СП|Беномил 500, СП; Бенорад, СП; Нор-Би, СП; Фундазол, СП;
Беневия, МД|--
Бенефис, МЭ|--
Бенито, ККР|--
Беномил 500, СП|Беназол, СП; Бенорад, СП; Нор-Би, СП; Фундазол, СП;
Бенорад, СП|Беномил 500, СП; Беназол, СП; Нор-Би, СП; Фундазол, СП;
Бентазолин, ВР|АгроБазон, ВР; Альфа-бентазон, ВР; Базон, ВР; Барон, ВР; Базагран, BР; Бентасил, ВР; Бентекс, ВР; Бентобел, ВР; Бентограм, ВР; Бентус, ВР; Бизон, ВК; Бонус, ВР; Бунт, ВР; Гарнизон, ВР; Гранбаз, ВР; Изобен, ВР; Корсар, ВРК; Наношанс, ВР; Ранголи-Базорон, ВР; Сикурс, ВР; Тигрис, ВР; 
Бентасил, ВР|АгроБазон, ВР; Альфа-бентазон, ВР; Базон, ВР; Барон, ВР; Базагран, BР; Бентазолин, ВР; Бентекс, ВР; Бентобел, ВР; Бентограм, ВР; Бентус, ВР; Бизон, ВК; Бонус, ВР; Бунт, ВР; Гарнизон, ВР; Гранбаз, ВР; Изобен, ВР; Корсар, ВРК; Наношанс, ВР; Ранголи-Базорон, ВР; Сикурс, ВР; Тигрис, ВР; 
Бентобел, ВР|АгроБазон, ВР; Альфа-бентазон, ВР; Базон, ВР; Барон, ВР; Базагран, BР; Бентазолин, ВР; Бентасил, ВР; Бентекс, ВР; Бентограм, ВР; Бентус, ВР; Бизон, ВК; Бонус, ВР; Бунт, ВР; Гарнизон, ВР; Гранбаз, ВР; Изобен, ВР; Корсар, ВРК; Наношанс, ВР; Ранголи-Базорон, ВР; Сикурс, ВР; Тигрис, ВР; 
Бентограм, ВР|АгроБазон, ВР; Альфа-бентазон, ВР; Базон, ВР; Барон, ВР; Базагран, BР; Бентазолин, ВР; Бентасил, ВР; Бентекс, ВР; Бентус, ВР; Бизон, ВК; Бонус, ВР; Бунт, ВР; Гарнизон, ВР; Гранбаз, ВР; Изобен, ВР; Корсар, ВРК; Наношанс, ВР; Ранголи-Базорон, ВР; Сикурс, ВР; Тигрис, ВР; 
Бентус, ВР|АгроБазон, ВР; Альфа-бентазон, ВР; Базон, ВР; Барон, ВР; Базагран, BР; Бентазолин, ВР; Бентасил, ВР; Бентекс, ВР; Бизон, ВК; Бонус, ВР; Бунт, ВР; Гарнизон, ВР; Гранбаз, ВР; Изобен, ВР; Корсар, ВРК; Наношанс, ВР; Ранголи-Базорон, ВР; Сикурс, ВР; Тигрис, ВР; 
Беретта, МД|--
Берилл, КЭ|Селект, КЭ; Макси Злак, КЭ; Цензор Макс, МКЭ;
Бетакем, КЭ|АЛЬФА БРИГАДИР, КЭ; Бетанал Прогресс ОФ, КЭ; Бетанал Эксперт ОФ, КЭ; Бетахим Эксперт, КЭ; Беташанс Трио, КЭ; Бетинол Плюс, КЭ; Битатрин, КЭ; Бифор Прогресс, ВСК; Вымпел 3, КЭ; Горизонт, КЭ; Гуд-Харвест Свекольный Гербицид, КЭ; Древер, КЭ; Комрад, КЭ; Лидер, КЭ; Профессор, КЭ; Ратник, КЭ; Секира Элит, КЭ; Синбетан Эксперт ОФ, КЭ; Тринити, КЭ; Эксперт Трио ОФ, КЭ;
Бетанал 22, КЭ|Агротех-Гарант-22, КЭ; Бетаниум 22, КЭ; Бельведер, СЭ; Бетахим 22, КЭ ; Бетацвай, КЭ ; Беташанс Дабл, КЭ; Бетинол 22, КЭ ; Бифор 22, ВСК; Бифор 22, КЭ ; Вымпел 2, КЭ; Доцент, КЭ; Секира Дуэт, КС; Секунда, КЭ; Эксперт 22, КЭ; Эксперт Некст, КС;
